Count_crash,GEOID
0,483550054091
0,483550054111
0,481299502002
2,481299503002
0,483550054101
0,480850315043
0,483550054121
4,483550054141
5,483550056012
0,483550056013
0,483550056014
0,480291820031
3,481350027005
4,481350028011
7,481350028012
0,481350028021
0,481350028022
0,481350028023
0,481350028024
0,481350029001
0,480850315061
5,480850316111
0,480850316112
4,480850316113
6,480850316122
0,480850316123
0,480850316124
0,480850316131
0,483090024983
2,483090024984
2,483090025011
0,483090025013
2,483090025031
2,483090025032
0,483090025033
0,480850313121
0,480850313172
0,482239507004
2,482150244032
0,481410041044
0,481410041045
4,481410041051
0,481410041052
0,481410041062
0,481410041063
3,481410041064
0,481410041071
0,481410042013
2,483810218022
0,482511303043
2,483810205004
3,480850315062
0,481810017001
2,482511304071
0,482511304073
0,482511304074
6,481410016005
3,481410018002
7,481410103312
0,481410103251
2,481410103393
5,481410103321
0,481410103453
0,481410042016
0,481410042021
0,481410042022
0,481410042023
11,481410042024
2,481410042025
2,481410043031
0,481410043032
4,481410043183
2,482511304082
3,482511304094
2,481410011112
0,481410013011
0,481410102191
2,481410102182
5,481410040034
2,481410106003
0,481410043192
0,481410013021
2,481576745011
8,481576715021
8,481576720011
0,481576723011
8,481576729001
2,480291216063
0,480291216042
0,480291216043
2,480291216044
0,480291505022
0,480291506001
0,480291506003
0,480291507001
0,480291507002
0,480291507003
0,480291507004
0,480291508001
2,480291508003
6,480291509004
6,480291509003
0,480291510001
4,480291510002
4,480291719201
2,480291719212
0,480291719161
0,480291719151
3,480291719142
0,480291818221
2,480291818223
6,480291818231
0,482511304102
0,482511304103
0,482511307001
0,482511307002
0,482511307003
0,482511307004
0,482511307005
2,482511308001
0,481410043182
0,481410043181
0,481410043071
2,481410043072
2,481410043101
0,484850128004
0,484850134013
0,480270234023
4,480270234032
0,480270207012
0,484850131001
2,484090102013
2,482999702001
3,484119501003
0,482511308002
0,482511308003
0,482511309002
0,481410103071
0,481410103072
0,481410103073
0,481410103075
0,481410103122
2,481410103123
0,481410103124
0,481410103242
0,482511309003
7,480990105041
0,480990105021
0,480990105012
0,480990102011
0,480850305234
2,480850305082
7,480850305111
0,480850305083
0,480850304051
0,480850305101
0,480850304053
0,480850317202
0,480850305312
0,480850318061
0,480850318022
5,480850319002
2,480850320091
5,482999701003
0,482999704001
0,482999701002
0,482999705003
0,482999702002
0,482999703002
3,482999706002
0,482999701001
0,480410013022
0,480410001014
0,480410002012
0,480410001013
0,480410001021
0,480419800001
8,480410020121
2,481410043133
4,481410043163
0,480410002011
0,480410009002
0,480410005001
0,480410002013
0,480410006041
19,480410020151
0,481410102181
0,482511310002
0,482511310003
8,482511311002
3,482511304072
4,482511305004
0,482511309001
0,484090110001
0,484090111001
2,481410103431
0,481410102072
0,481410101011
0,481410002082
0,481410001081
3,481410011042
0,480259502021
0,480259505006
0,480291217011
0,480291217013
0,480291217014
2,480291218123
2,480291218131
0,480291218022
15,480291218023
0,481410103402
0,481410102222
0,481410103282
2,481410001012
0,481410009006
0,481410010022
2,481410015014
0,481576727022
2,480291218021
2,480291218031
2,480291218032
18,480291510003
8,480291511001
0,480291511002
5,480291512002
0,480291512003
0,480291512004
0,480291513013
0,480291513022
0,480291513011
5,480291514003
0,480291514004
2,481576723024
2,481576725001
2,481576725003
0,481576714001
2,481576746011
0,480291719131
0,480291719251
9,480291719254
0,480291720021
2,480291801012
0,480291820023
3,480291901001
0,480291901003
0,481419800001
2,480291902001
7,480291902002
0,480291902003
2,481410043132
0,481410103031
0,481410103033
0,480291906011
0,480291208005
0,481410041043
0,480990107021
0,483610203002
0,481130190232
0,483610205004
0,482012409024
0,482013408003
0,482013408002
